," Gross Domestic Product (at Constant Prices), Current
Quarter(100 million yuan)"," Gross Domestic Product (at Constant Prices),
Accumulated(100 million yuan)"," Value-added of the Primary Industry (at Constant
Prices), Current Quarter(100 million yuan)"," Value-added of the Primary Industry (at Constant
Prices), Accumulated(100 million yuan)"," Value-added of the Secondary Industry (at Constant
Prices), Current Quarter(100 million yuan)"," Value-added of the Secondary Industry (at Constant
Prices), Accumulated(100 million yuan)"," Value-added of the Tertiary Industry (at Constant
Prices), Current Quarter(100 million yuan)"," Value-added of the Tertiary Industry (at Constant
Prices), Accumulated(100 million yuan)"
2007-03-31,53480.3,53480.3,3109.5,3109.5,24673.7,24673.7,25697.1,25697.1
2007-06-30,59216.8,112697.1,4821.1,7930.6,29151,53824.7,25244.7,50941.9
2007-09-30,61099.4,173796.6,7112.3,15042.9,29198.8,83023.5,24788.3,75730.1
2007-12-31,67399.2,241195.8,8605.7,23648.6,31946.5,114970,26847,102577.2
2008-03-31,59640.3,59640.3,3192.6,3192.6,27811.4,27811.4,28636.3,28636.3
2008-06-30,65699.9,125340.1,5007,8199.6,32554.2,60365.6,28138.7,56775
2008-09-30,66919.4,192259.5,7504.5,15704,31906.1,92271.7,27508.9,84283.8
2008-12-31,72213.3,264472.8,9163.9,24867.9,34010.2,126281.9,29039.2,113323
2009-03-31,63431.9,63431.9,3313.1,3313.1,29412.3,29412.3,30706.5,30706.5
2009-06-30,71090.4,134522.3,5193.3,8506.3,35250.9,64663.2,30646.2,61352.7
2009-09-30,74022.5,208544.8,7813,16319.3,35621,100284.2,30588.6,91941.3
2009-12-31,80785.1,289329.9,9544,25863.3,38995.6,139279.8,32245.5,124186.8
2010-03-31,71168,71168,3441.4,3441.4,33944.9,33944.9,33781.6,33781.6
2010-06-30,78746.9,149914.9,5379.6,8821,39780.3,73725.3,33587,67368.6
2010-09-30,81366.7,231281.6,8146.7,16967.6,39701.9,113427.2,33518.1,100886.8
2010-12-31,88821.1,320102.6,9995.1,26962.7,43518.4,156945.5,35307.6,136194.4
2011-03-31,98902.8,98902.8,4978,4978,44870.1,44870.1,49054.7,49054.7
2011-06-30,110314.2,209217,7994.4,12972.4,53147.1,98017.2,49172.7,98227.4
2011-09-30,115223.5,324440.5,12114.8,25087.2,53851.7,151868.9,49257,147484.3
2011-12-31,127039.6,451480.1,14947.9,40035.1,60239.9,212108.9,51851.8,199336.2
2012-03-31,106938.5,106938.5,5164.2,5164.2,49128.1,49128.1,52646.2,52646.2
2012-06-30,118757.4,225695.9,8360,13524.2,57383.1,106511.1,53014.3,105660.6
2012-09-30,123917,349612.9,12607.4,26131.5,58004.7,164515.9,53304.9,158965.5
2012-12-31,137370.4,486983.3,15691.7,41823.2,65333,229848.9,56345.7,215311.2
2013-03-31,115342.5,115342.5,5319.2,5319.2,52973.4,52973.4,57049.9,57049.9
2013-06-30,127743.9,243086.3,8580.5,13899.7,61736.3,114709.6,57427.1,114477
2013-09-30,133751.6,376837.9,13094.1,26993.8,62841.2,177550.8,57816.3,172293.4
2013-12-31,147965.2,524803.1,16421.7,43415.5,70656.6,248207.4,60886.8,233180.2
2014-03-31,124032.7,124032.7,5490.2,5490.2,56854.3,56854.3,61688.2,61688.2
2014-06-30,137477.3,261510,8921.4,14411.6,66419.4,123273.8,62136.4,123824.6
2014-09-30,143448.1,404958.1,13698,28109.7,67271.7,190545.5,62478.4,186303
2014-12-31,158815.7,563773.8,17064.4,45174.1,75422.6,265968,66328.7,252631.7
2015-03-31,132883.8,132883.8,5661.2,5661.2,60370.3,60370.3,66852.3,66852.3
2015-06-30,147275.4,280159.2,9247.1,14908.3,70324.4,130694.7,67703.8,134556.2
2015-09-30,153478.9,433638.1,14266.1,29174.4,71097.3,201792,68115.5,202671.7
2015-12-31,169832.9,603470.9,17760.8,46935.2,79939.4,281731.3,72132.7,274804.4
2016-03-31,161760.5,161760.5,7584.5,7584.5,62905.4,62905.4,91270.6,91270.6
2016-06-30,179988,341748.6,12221,19805.4,74825.9,137731.3,92941.2,184211.8
2016-09-30,188607.2,530355.7,17859.6,37665.1,76222.3,213953.6,94525.2,278737
2016-12-31,205680.8,736036.5,22003.3,59668.4,84354.2,298307.8,99323.3,378060.3
2017-03-31,173159.5,173159.5,7815.1,7815.1,66747.5,66747.5,98597,98597
2017-06-30,192594.3,365753.9,12683.9,20499,79483.8,146231.3,100426.7,199023.6
2017-09-30,201648.3,567402.2,18558.5,39057.5,80630.8,226862.1,102459.1,301482.7
2017-12-31,219768.2,787170.4,22974.6,62032,88951.3,315813.4,107842.3,409325
2018-03-31,185190,185190,8065,8065,70884.6,70884.6,106240.4,106240.4
2018-06-30,205905.5,391095.5,13110.2,21175.2,84211.3,155095.9,108584,214824.4
2018-09-30,215098.8,606194.4,19228.5,40403.7,84901.4,239997.3,110969,325793.4
2018-12-31,234108.3,840302.6,23788.9,64192.5,94109.3,334106.6,116210.1,442003.5
2019-03-31,196802.8,196802.8,8281.8,8281.8,74610.3,74610.3,113910.7,113910.7
2019-06-30,218190.6,414993.4,13540.5,21822.4,88207.3,162817.7,116442.7,230353.4
2019-09-30,227683.6,642677,19756.9,41579.2,88745.8,251563.5,119181,349534.3
2019-12-31,247627.8,890304.8,24588.4,66167.6,98829.6,350393,124209.9,473744.2
2020-03-31,183177.8,183177.8,8026.2,8026.2,67368.3,67368.3,107783.3,107783.3
2020-06-30,224846.8,408024.6,14014.4,22040.6,92262.2,159630.6,118570.1,226353.4
2020-09-30,238702.1,646726.6,20561.5,42602.1,93972.2,253602.7,124168.4,350521.8
2020-12-31,263508.9,910235.6,25637.3,68239.4,105424.9,359027.6,132446.7,482968.6
2021-03-31,245513.7,245513.7,10335.9,10335.9,91598.2,91598.2,143579.6,143579.6
2021-06-30,268481.9,513995.6,17206.7,27542.6,104259.4,195857.6,147015.8,290595.3
2021-09-30,278521,792516.6,24821.7,52364.4,103741,299598.7,149958.2,440553.5
2021-12-31,306681.3,1099197.9,31186.3,83550.6,117235.1,416833.7,158260,598813.5
2022-03-31,257258.4,257258.4,10965,10965,95947.7,95947.7,150345.8,150345.8
2022-06-30,269541.3,526799.7,17972.2,28937.2,104062.4,200010.1,147506.7,297852.5
2022-09-30,289404.8,816204.5,25677.9,54615.1,107942.7,307952.8,155784.3,453636.7
2022-12-31,315427.1,1131631.6,32447.6,87062.7,119874.7,427827.5,163104.7,616741.4
2023-03-31,268963.4,268963.4,11368.2,11368.2,99067.3,99067.3,158527.9,158527.9
2023-06-30,286619.6,555583,18644.5,30012.7,109487.7,208554.9,158487.5,317015.4
2023-09-30,303470.3,859053.3,26764.8,56777.5,112898.2,321453.1,163807.3,480822.7
2023-12-31,331984,1191037.3,33813.1,90590.6,126500.2,447953.3,171670.7,652493.3
